iter	Passed	Remaining
0	282	564434
1	382	382076
2	888	591527
3	1367	682414
4	1880	750225
5	2311	768278
6	2883	820968
7	3440	856602
8	4014	888096
9	4724	940187
10	5461	987556
11	5944	984770
12	6603	1009324
13	7064	1002113
14	7638	1010873
15	8176	1013901
16	8820	1028867
17	9432	1038583
18	10026	1045438
19	10723	1061641
20	11352	1069856
21	11574	1040628
22	12118	1041685
23	12671	1043257
24	13346	1054411
25	13915	1056509
26	14428	1054361
27	14957	1053406
28	15498	1053393
29	16150	1060559
30	16736	1063061
31	17294	1063606
32	17823	1062364
33	18556	1073016
34	19288	1082890
35	19846	1082752
36	20324	1078305
37	20863	1077230
38	21628	1087539
39	22218	1088708
40	22843	1091468
41	23518	1096406
42	24178	1100380
43	25026	1112538
44	25818	1121651
45	26427	1122578
46	27157	1128491
47	27670	1125247
48	28146	1120685
49	28748	1121177
50	29293	1119474
51	29930	1121239
52	30471	1119404
53	30985	1116631
54	31569	1116417
55	32107	1114585
56	32626	1112158
57	33162	1110386
58	33720	1109363
59	34258	1107689
60	34758	1104872
61	35308	1103680
62	35853	1102349
63	36368	1100135
64	36897	1098417
65	37542	1100098
66	38107	1099436
67	38902	1105294
68	39674	1110300
69	40389	1113594
70	41040	1115027
71	41721	1117199
72	42264	1115672
73	43028	1119908
74	43625	1119723
75	44402	1124074
76	45008	1124048
77	45753	1127408
78	46408	1128490
79	46987	1127699
80	47549	1126511
81	48228	1128070
82	48851	1128295
83	49539	1129966
84	50505	1137854
85	51159	1138591
86	51846	1140027
87	52550	1141770
88	53324	1144985
89	53939	1144711
90	54487	1143036
91	55045	1141590
92	55690	1141960
93	56448	1144591
94	57058	1144177
95	57695	1144292
96	58268	1143149
97	58780	1140826
98	59412	1140846
99	59826	1136695
100	60610	1139591
101	61246	1139671
102	61778	1137799
103	62337	1136462
104	63044	1137798
105	63833	1140566
106	64569	1142328
107	65313	1144191
108	65966	1144430
109	66708	1146165
110	67476	1148310
111	68195	1149577
112	69039	1152906
113	69972	1157620
114	70650	1158046
115	71278	1157665
116	72013	1158987
117	72699	1159502
118	73349	1159420
119	74032	1159838
120	74706	1160112
