Image File,License Plate Text,Confidence Score
license_plate_0_0_0.tif,FE MSS 1,35
license_plate_0_1_0.tif,NAIZNRU,0
license_plate_103_3_0.tif,AXS2BPF,0
license_plate_104_9_0.tif,H52BPF,0
license_plate_106_0_0.tif,CES6,0
license_plate_107_0_0.tif,CESISYL,0
license_plate_108_0_0.tif,CESGLNYL,0
license_plate_108_1_0.tif,CESWYL,0
license_plate_109_0_0.tif,CEGIWYL,0
license_plate_109_1_0.tif,CEGIWYL,0
license_plate_10_0_0.tif,22K1,0
license_plate_10_1_0.tif,PS22I,0
license_plate_10_2_0.tif,APOSJEO,0
license_plate_110_1_0.tif,CESINYL,0
license_plate_110_4_0.tif,CEGIWYL,0
license_plate_115_6_0.tif,CEGIMYL,0
license_plate_116_5_0.tif,CEGINWYL,0
license_plate_116_8_0.tif,CEGINYL,0
license_plate_117_0_0.tif,,-1
license_plate_118_3_0.tif,BGIBSP,0
license_plate_119_0_0.tif,PS DYP1,0
license_plate_11_0_0.tif,IS22K1,0
license_plate_11_1_0.tif,,-1
license_plate_12_1_0.tif,,-1
license_plate_12_2_0.tif,,-1
license_plate_12_3_0.tif,HOS22K,0
license_plate_12_5_0.tif,APOSJEO,0
license_plate_13_0_0.tif,,-1
license_plate_13_1_0.tif,KHOS22K,0
license_plate_13_2_0.tif,KHOS2K,0
license_plate_13_3_0.tif,,-1
license_plate_13_4_0.tif,4APOSJEO,0
license_plate_14_2_0.tif,,-1
license_plate_14_3_0.tif,APOSJEO,0
license_plate_15_0_0.tif,,-1
license_plate_15_1_0.tif,MHOS22K,0
license_plate_16_2_0.tif,KHOSZ22K,0
license_plate_16_3_0.tif,KHOS226,0
license_plate_17_0_0.tif,WED,0
license_plate_17_4_0.tif,I WRO2FKO 1,49
license_plate_17_5_0.tif,WRO2FKO,61
license_plate_18_0_0.tif,F EYGINBG,10
license_plate_18_5_0.tif,F4ZHYI,0
license_plate_19_1_0.tif,P NBG,94
license_plate_19_4_0.tif,FJI4ZHY,0
license_plate_19_5_0.tif,I FJI4ZHY,60
license_plate_19_5_1.tif,FJI4ZHY,0
license_plate_19_6_0.tif,FJI4ZHY,0
license_plate_1_0_0.tif,MSS,0
license_plate_1_1_0.tif,NAIZNRU,0
license_plate_20_1_0.tif,EY6INBG,11
license_plate_21_1_0.tif,,-1
license_plate_21_3_0.tif,4 EY6INBG,57
license_plate_22_4_0.tif,EF EY6GINBG,0
license_plate_23_7_0.tif,EE EY6INBG I,53
license_plate_24_0_0.tif,EAVGWVE,0
license_plate_24_5_0.tif,HPT,0
license_plate_26_0_0.tif,I NAS4KGI 1,68
license_plate_26_5_0.tif,NAS4KGI,0
license_plate_26_6_0.tif,I NAS4KGI,0
license_plate_27_0_0.tif,NAS4KGU 1,86
license_plate_27_1_0.tif,FAVOB8HVE,0
license_plate_27_2_0.tif,F0HVE,0
license_plate_27_4_0.tif,HMIA,0
license_plate_27_5_0.tif,NAS4KGU 1,77
license_plate_27_6_0.tif,7 NAS4KOU 1,86
license_plate_28_0_0.tif,E NAS4KGJ,0
license_plate_28_0_1.tif,NA2S4KGJ 1,0
license_plate_28_1_0.tif,NWAS4KG3,30
license_plate_28_2_0.tif,NAS4KGJ 1,57
license_plate_28_5_0.tif,NAS4KGI,0
license_plate_29_1_0.tif,I NAS4KGJ,43
license_plate_29_2_0.tif,NAS4KGS,0
license_plate_29_3_0.tif,I NAS4KG5,34
license_plate_29_3_1.tif,NAS4KGS,0
license_plate_29_4_0.tif,I NAS4KG45,39
license_plate_29_5_0.tif,E BGG6GS USJ,48
license_plate_29_6_0.tif,NAS4KGJ,0
license_plate_2_3_0.tif,NAIDNRU,0
license_plate_30_2_0.tif,NA54KGJ I,39
license_plate_30_3_0.tif,NWAS5S4KGJI,0
license_plate_30_4_0.tif,NA54KGJ,0
license_plate_30_5_0.tif,I BGSS USJ,89
license_plate_31_0_0.tif,14K64DOMNV,0
license_plate_31_2_0.tif,464DMNV,0
license_plate_31_3_0.tif,4K64ONV 1,82
license_plate_31_4_0.tif,I NAS4KGI,48
license_plate_31_6_0.tif,P US,7
license_plate_32_0_0.tif,I 4M64OMV 1,61
license_plate_32_1_0.tif,NAS4KGJ,0
license_plate_32_2_0.tif,NAS4KGJ,0
license_plate_33_0_0.tif,4K64DVI,0
license_plate_33_1_0.tif,,-1
license_plate_33_2_0.tif,NAS4KGJ,0
license_plate_33_3_0.tif,I NAS4KGJ,0
license_plate_34_0_0.tif,,-1
license_plate_34_2_0.tif,NWAS4KGJ 1,0
license_plate_34_3_0.tif,I NAS4KGJ,56
license_plate_35_0_0.tif,B EFIODBZT,30
license_plate_35_1_0.tif,FEF,0
license_plate_35_2_0.tif,AKG6E4DMV,0
license_plate_35_3_0.tif,EFIDD7T,0
license_plate_35_5_0.tif,,-1
license_plate_36_0_0.tif,FEF2TJ,0
license_plate_36_1_0.tif,EFI02T 1,76
license_plate_36_3_0.tif,,-1
license_plate_37_0_0.tif,EFIOD2ZT,0
license_plate_37_1_0.tif,E EFIODZT,51
license_plate_37_3_0.tif,AK64MV,0
license_plate_37_7_0.tif,,-1
license_plate_38_0_0.tif,EFIOD2T,0
license_plate_38_1_0.tif,EFIGDZ2T,0
license_plate_38_2_0.tif,1 EFIOD2T 1,58
license_plate_38_4_0.tif,AK6E4DMV,0
license_plate_38_5_0.tif,AK64DMV,0
license_plate_38_6_0.tif,,-1
license_plate_38_7_0.tif,,-1
license_plate_38_8_0.tif,,-1
license_plate_39_10_0.tif,AK64DMV,0
license_plate_39_4_0.tif,E EFIOD2T,67
license_plate_39_5_0.tif,E EFIOD2T,24
license_plate_39_7_0.tif,EFIOD2ZT,0
license_plate_39_8_0.tif,EFIOD2ZT,0
license_plate_39_9_0.tif,AK54DMV,0
license_plate_40_11_0.tif,AK64DMV,0
license_plate_40_6_0.tif,I EFIODZT 1,55
license_plate_40_7_0.tif,F EFIODZT,32
license_plate_40_8_0.tif,EFIOD2T,0
license_plate_40_9_0.tif,EFIODZT,0
license_plate_41_6_0.tif,E EFIODZT,21
license_plate_41_7_0.tif,F EFIOD2ZT,0
license_plate_41_8_0.tif,EFIOD2T,0
license_plate_42_6_0.tif,E EFIODZT 1,38
license_plate_43_2_0.tif,EAFGSJKVJI,0
license_plate_43_5_0.tif,LAF6GSJKY,0
license_plate_45_0_0.tif,F C306 EPO,85
license_plate_45_3_0.tif,LAF6S5JKV,0
license_plate_46_5_0.tif,AFG6SJKV,0
license_plate_47_0_0.tif,FG306EFD,0
license_plate_47_10_0.tif,F06F,0
license_plate_47_7_0.tif,AFGSIKV,0
license_plate_47_8_0.tif,AFGSJKV,0
license_plate_48_1_0.tif,F GJO6 I,72
license_plate_48_3_0.tif,B 7,5
license_plate_48_9_0.tif,F GJO6 EPOM,90
license_plate_49_0_0.tif,L UNISZ2CE,0
license_plate_49_10_0.tif,FGCJO6EFD,0
license_plate_49_1_0.tif,FLS22,0
license_plate_49_2_0.tif,F GJOB EFDI,74
license_plate_49_3_0.tif,KHOGSKSUL,0
license_plate_49_4_0.tif,BKSUL,0
license_plate_49_5_0.tif,F KSUD,4
license_plate_49_6_0.tif,W 0,0
license_plate_49_9_0.tif,L LNISZ2C,29
license_plate_4_4_0.tif,,-1
license_plate_50_0_0.tif,1 CNI522C,0
license_plate_50_1_0.tif,1 LNISZZC 1,74
license_plate_50_2_0.tif,GJO6 EPDM,64
license_plate_50_3_0.tif,F GJO6 EPDM,86
license_plate_50_5_0.tif,FHO KSU,0
license_plate_50_6_0.tif,BKS,0
license_plate_51_0_0.tif,WNSZ2,0
license_plate_51_1_0.tif,4 LNISZ2C 1,86
license_plate_51_2_0.tif,4 GJO6 EPDOR,83
license_plate_51_3_0.tif,F GJO6 EPDI,84
license_plate_52_1_0.tif,LAMISZ2C 1,68
license_plate_52_3_0.tif,CNIS22C,0
license_plate_52_4_0.tif,F GJIO6 EPDI,83
license_plate_52_5_0.tif,F GO6 EPDE,16
license_plate_53_0_0.tif,07C,0
license_plate_53_1_0.tif,LNISZZC,0
license_plate_53_3_0.tif,LNISZZ2C 1,73
license_plate_53_4_0.tif,F LNISZZC,0
license_plate_53_5_0.tif,FJ06 EPDI,0
license_plate_53_6_0.tif,FJ0S EPDM,1
license_plate_54_0_0.tif,D07CLX,0
license_plate_54_10_0.tif,E GJO6 EPDI,79
license_plate_54_12_0.tif,07CX,0
license_plate_54_12_1.tif,D7CLX,0
license_plate_54_13_0.tif,D407CX,0
license_plate_54_13_1.tif,DAO7CLX,0
license_plate_54_2_0.tif,D07CLX,0
license_plate_54_4_0.tif,E CNISZ2Z2C 1,69
license_plate_54_5_0.tif,F CNISZ22Z2C,50
license_plate_54_6_0.tif,4 CNISZ22ZC 1,92
license_plate_54_7_0.tif,4 CWISZ2ZC 1,74
license_plate_54_8_0.tif,F21,0
license_plate_54_9_0.tif,E GJO6 EPDI,88
license_plate_55_0_0.tif,D07CULX,0
license_plate_55_1_0.tif,D07CLX,0
license_plate_55_3_0.tif,F LNISZ2C,55
license_plate_55_4_0.tif,Z LNISZ2ZC,0
license_plate_55_5_0.tif,Z LNISZ2ZC 1,78
license_plate_55_7_0.tif,FJ06 EPDI,88
license_plate_55_8_0.tif,GJO6 EPDI,86
license_plate_56_0_0.tif,DAO7CLX,0
license_plate_56_0_1.tif,WDAO7CLX,0
license_plate_56_2_0.tif,DAO7CLX,0
license_plate_56_3_0.tif,LNISZ2C,0
license_plate_56_4_0.tif,Z LNISZ2C 1,55
license_plate_57_0_0.tif,DAO7CLX,0
license_plate_57_2_0.tif,DA07CLX,0
license_plate_57_3_0.tif,4 LNISZZC,18
license_plate_57_4_0.tif,F LNISZ2ZC 1,0
license_plate_58_2_0.tif,DA07CLX,0
license_plate_59_0_0.tif,DAO7CLX,0
license_plate_59_2_0.tif,DA07CL,0
license_plate_59_4_0.tif,W,0
license_plate_60_0_0.tif,F VUSE,21
license_plate_60_1_0.tif,DAO7CLX,0
license_plate_60_2_0.tif,DA07CUX,0
license_plate_60_4_0.tif,DAQ7CLX,0
license_plate_61_0_0.tif,F3 VSE,0
license_plate_61_1_0.tif,DAQ7CLX,0
license_plate_61_2_0.tif,DAO7CLX,0
license_plate_61_3_0.tif,DAQ7CLX,0
license_plate_61_5_0.tif,FE3 VS,0
license_plate_62_0_0.tif,D07C,0
license_plate_63_0_0.tif,EOS,0
license_plate_65_0_0.tif,TEOSW,0
license_plate_66_0_0.tif,FEYOSVS,0
license_plate_67_0_0.tif,FEYS,0
license_plate_73_1_0.tif,L BPSIL,0
license_plate_75_1_0.tif,I BP63LYH,68
license_plate_77_1_0.tif,I BP63LYH,77
license_plate_7_1_0.tif,PZ2K1,0
license_plate_7_2_0.tif,APOSJEO,0
license_plate_7_3_0.tif,APOSJE0,0
license_plate_7_6_0.tif,APOSJEO,0
license_plate_7_7_0.tif,APOSJEO,0
license_plate_80_1_0.tif,RGGS ZFXA,1
license_plate_80_2_0.tif,WOG6S ZF,0
license_plate_81_1_0.tif,INGG6SZF,0
license_plate_81_2_0.tif,INGGS2ZF1,0
license_plate_82_1_0.tif,PWG6S ZFXB,0
license_plate_82_2_0.tif,C6ESZ2FX,0
license_plate_83_3_0.tif,IWGSSZFXI,0
license_plate_83_4_0.tif,BWG6SZF,0
license_plate_84_3_0.tif,RWG6S2FX,0
license_plate_84_4_0.tif,BWGGSZFX,0
license_plate_84_5_0.tif,BGGS2FX,0
license_plate_84_6_0.tif,IWGGSZFX,0
license_plate_85_4_0.tif,PWGG6GS2FX,0
license_plate_85_5_0.tif,PWGSS ZFX,80
license_plate_85_6_0.tif,IWGGS2FX,0
license_plate_85_7_0.tif,IWGS6S ZEX1,0
license_plate_85_9_0.tif,IWGGSZFX,0
license_plate_86_5_0.tif,PWGES ZFX,0
license_plate_86_6_0.tif,PWGSS ZFXE,67
license_plate_86_7_0.tif,B ZFX,0
license_plate_89_0_0.tif,TER,22
license_plate_89_0_1.tif,FNLG4OGX,0
license_plate_89_3_0.tif,E NLG4 OGXL,82
license_plate_8_0_0.tif,0S22K,0
license_plate_8_10_0.tif,0522K,0
license_plate_8_11_0.tif,APOS5JEO,0
license_plate_8_1_0.tif,H0S22K,0
license_plate_8_2_0.tif,APOSJEO,0
license_plate_8_3_0.tif,APOSJEO,0
license_plate_8_4_0.tif,APOSJEO,0
license_plate_8_5_0.tif,APOSJEO,0
license_plate_8_7_0.tif,I LNW3SVCV,32
license_plate_90_0_0.tif,D,0
license_plate_90_1_0.tif,WNLG4 OCX,0
license_plate_90_3_0.tif,LPI4L,0
license_plate_90_4_0.tif,TNLG OCX,0
license_plate_91_0_0.tif,INLG4 OGX,12
license_plate_92_0_0.tif,E NLGE4,0
license_plate_93_1_0.tif,F NLG4OCX,76
license_plate_96_2_0.tif,I LPI4LIA,19
license_plate_96_3_0.tif,LPI4LIA,0
license_plate_96_4_0.tif,LPI4LIUA,0
license_plate_9_0_0.tif,00522,0
license_plate_9_1_0.tif,P22K,0
license_plate_9_2_0.tif,APOSJEO,0
license_plate_9_3_0.tif,APOSJEO,0
license_plate_9_6_0.tif,LWI3VCV,0
license_plate_9_7_0.tif,B22I,0
license_plate_9_8_0.tif,P22K1,0
